transaction_item_id,transaction_id,product_id,qty
2010031,201003,10000,1
2010111,201011,10000,1
2010191,201019,10000,1
2010471,201047,10000,1
2010521,201052,10000,1
2010691,201069,10000,1
2010911,201091,10000,1
2017001,201700,10000,1
2017321,201732,10000,1
2017691,201769,10000,1
2017761,201776,10000,1
2018021,201802,10000,1
2025331,202533,10000,1
2025471,202547,10000,1
2025521,202552,10000,1
2026451,202645,10000,1
2026641,202664,10000,1
2026751,202675,10000,1
2010112,201011,10000,1
2010902,201090,10000,1
2017162,201716,10000,1
2017962,201796,10000,1
3010311,301031,10000,1
3010581,301058,10000,1
3010721,301072,10000,1
3011301,301130,10000,1
3011321,301132,10000,1
3011551,301155,10000,1
3011571,301157,10000,1
3011881,301188,10000,1
3011891,301189,10000,1
3012121,301212,10000,1
3012291,301229,10000,1
3013021,301302,10000,1
3013581,301358,10000,1
3013811,301381,10000,1
3013841,301384,10000,1
3030381,303038,10000,1
3030421,303042,10000,1
3030551,303055,10000,1
3030601,303060,10000,1
3030781,303078,10000,1
3031021,303102,10000,1
3031041,303104,10000,1
3031281,303128,10000,1
3032121,303212,10000,1
3032131,303213,10000,1
3040651,304065,10000,1
3040811,304081,10000,1
3041091,304109,10000,1
3041261,304126,10000,1
3041531,304153,10000,1
3041571,304157,10000,1
3041581,304158,10000,1
3042221,304222,10000,1
3042281,304228,10000,1
3042491,304249,10000,1
3042511,304251,10000,1
3051371,305137,10000,1
3051591,305159,10000,1
3051651,305165,10000,1
3052141,305214,10000,1
3052271,305227,10000,1
3053961,305396,10000,1
3065271,306527,10000,1
3066101,306610,10000,1
3066461,306646,10000,1
3067341,306734,10000,1
3067351,306735,10000,1
3067421,306742,10000,1
3067921,306792,10000,1
3078111,307811,10000,1
3078391,307839,10000,1
3080611,308061,10000,1
3082941,308294,10000,1
3083091,308309,10000,1
3083181,308318,10000,1
3010072,301007,10000,1
3010662,301066,10000,1
3010832,301083,10000,1
3010912,301091,10000,1
3011542,301154,10000,1
3011562,301156,10000,1
3011882,301188,10000,1
3011932,301193,10000,1
3012292,301229,10000,1
3012402,301240,10000,1
3012482,301248,10000,1
3012542,301254,10000,1
3012592,301259,10000,1
3012732,301273,10000,1
3013092,301309,10000,1
3013302,301330,10000,1
3014002,301400,10000,1
3030412,303041,10000,1
3030592,303059,10000,1
3030612,303061,10000,1
3031192,303119,10000,1
3031532,303153,10000,1
3031812,303181,10000,1
3040442,304044,10000,1
3040732,304073,10000,1
3040762,304076,10000,1
3040942,304094,10000,1
3041022,304102,10000,1
3041622,304162,10000,1
3041852,304185,10000,1
3041942,304194,10000,1
3042282,304228,10000,1
3042372,304237,10000,1
3078802,307880,10000,1
3081712,308171,10000,1
3081772,308177,10000,1
3081882,308188,10000,1
2010341,201034,10001,1
2010361,201036,10001,1
2010511,201051,10001,1
2010561,201056,10001,1
2010671,201067,10001,1
2016871,201687,10001,1
2016911,201691,10001,1
2017071,201707,10001,1
2017121,201712,10001,1
2025511,202551,10001,1
2025971,202597,10001,1
2026551,202655,10001,1
2026961,202696,10001,1
2027081,202708,10001,1
2010032,201003,10001,1
2010312,201031,10001,1
2010462,201046,10001,1
2010542,201054,10001,1
2010592,201059,10001,1
2010952,201095,10001,1
2016832,201683,10001,1
2017102,201710,10001,1
2017152,201715,10001,1
2017762,201776,10001,1
2017922,201792,10001,1
3010181,301018,10001,1
3010831,301083,10001,1
3010971,301097,10001,1
3011201,301120,10001,1
3011521,301152,10001,1
3011591,301159,10001,1
3012081,301208,10001,1
3012131,301213,10001,1
3012421,301242,10001,1
3012921,301292,10001,1
3012931,301293,10001,1
3012961,301296,10001,1
3013011,301301,10001,1
3014001,301400,10001,1
3014101,301410,10001,1
3030411,303041,10001,1
3030451,303045,10001,1
3030721,303072,10001,1
3030731,303073,10001,1
3030791,303079,10001,1
3031101,303110,10001,1
3031151,303115,10001,1
3031551,303155,10001,1
3031631,303163,10001,1
3040231,304023,10001,1
3040271,304027,10001,1
3040701,304070,10001,1
3041241,304124,10001,1
3041381,304138,10001,1
3041501,304150,10001,1
3041651,304165,10001,1
3041671,304167,10001,1
3041751,304175,10001,1
3042371,304237,10001,1
3042411,304241,10001,1
3051641,305164,10001,1
3051711,305171,10001,1
3051811,305181,10001,1
3052341,305234,10001,1
3052621,305262,10001,1
3052681,305268,10001,1
3053281,305328,10001,1
3053301,305330,10001,1
3053511,305351,10001,1
3053611,305361,10001,1
3053811,305381,10001,1
3054061,305406,10001,1
3065011,306501,10001,1
3065181,306518,10001,1
3065401,306540,10001,1
3065861,306586,10001,1
3066311,306631,10001,1
3066351,306635,10001,1
3066751,306675,10001,1
3066811,306681,10001,1
3067381,306738,10001,1
3067471,306747,10001,1
3067631,306763,10001,1
3067751,306775,10001,1
3068031,306803,10001,1
3078201,307820,10001,1
3078341,307834,10001,1
3078371,307837,10001,1
3078781,307878,10001,1
3080601,308060,10001,1
3080691,308069,10001,1
3081721,308172,10001,1
3081761,308176,10001,1
3081791,308179,10001,1
3081811,308181,10001,1
3084321,308432,10001,1
3084361,308436,10001,1
3010302,301030,10001,1
3010432,301043,10001,1
3010632,301063,10001,1
3010862,301086,10001,1
3011162,301116,10001,1
3011682,301168,10001,1
3011792,301179,10001,1
3011862,301186,10001,1
